MD,FACIES,CNL,CPOR,DENS,GR,KAH,LL9D,NEU,RT,SONI,CAT,LOGKAH
10277,1,11.889,6,2.663,74.694,0.01,9.805,0.11889,9.51109,73.251,1,-2
10278.5,1,16.377,6.8,2.556,103.176,0.03,4.258,0.16377,3.44852,84.524,2,-1.522878745
10279,1,19.212,3.6,2.521,108.483,0.01,4.106,0.19212,3.58963,85.573,1,-2
10280,1,18.975,6.3,2.532,119.589,0.07,4.578,0.18975,3.56376,87.474,2,-1.15490196
10282,1,19.865,8.6,2.542,116.502,0.28,4.106,0.19865,3.46187,83.729,1,-0.552841969
10283,1,19.593,5.6,2.517,114.871,1.1,3.488,0.19593,2.42548,85.499,2,0.041392685
10284,1,19.446,8.6,2.534,118.61,0.03,3.186,0.19446,2.51285,87.663,1,-1.522878745
10285,1,21.69,9.4,2.507,121.178,0.86,2.857,0.2169,2.34333,85.036,2,-0.065501549
10286.5,1,21.335,9.1,2.467,119.604,0.54,2.563,0.21335,1.96891,82.145,1,-0.26760624
10288,1,20.389,9.6,2.478,111.694,0.02,2.383,0.20389,1.95457,79.78,2,-1.698970004
10288.5,1,19.774,5.3,2.502,107.324,0.01,2.755,0.19774,2.70304,78.992,1,-2
10289.5,1,17.789,8.4,2.545,107.799,0.81,3.017,0.17789,2.59225,85.486,2,-0.091514981
10290.5,1,18.592,9.5,2.527,123.158,1.2,2.412,0.18592,1.91943,88.831,1,0.079181246
10291,1,21.332,9.7,2.525,123.654,1.3,2.299,0.21332,1.98535,88.83,2,0.113943352
10291.5,1,22.135,9.4,2.511,124.341,0.81,2.251,0.22135,1.9756,88.322,1,-0.091514981
10292.5,1,22.513,9.1,2.5,124.114,0.9,2.217,0.22513,2.00655,87.385,2,-0.045757491
10293,1,22.37,9.2,2.504,123.213,0.41,2.217,0.2237,2.00655,87.252,1,-0.387216143
10298,1,21.187,9.2,2.466,119.902,1.6,2.383,0.21187,2.34784,87.241,2,0.204119983
10299,1,20.715,9.6,2.502,115.565,1.1,2.563,0.20715,2.59058,86.058,1,0.041392685
10300,1,20.242,9,2.523,112.076,0.52,2.563,0.20242,2.52083,85.269,2,-0.283996656
10301,1,18.965,9.3,2.528,114.441,0.57,2.657,0.18965,2.61004,85.655,1,-0.244125144
10301.5,1,18.965,10.2,2.528,112.779,0.35,2.611,0.18965,2.51836,85.258,2,-0.455931956
10302.5,1,19.437,10.8,2.52,107.83,0.93,2.516,0.19437,2.32346,85.25,1,-0.031517051
10303.5,1,20.294,9.3,2.511,107.832,0.1,2.299,0.20294,1.95768,85.634,2,-1
10304.5,1,20.132,9.8,2.525,103.109,1,2.299,0.20132,2.07812,83.067,1,0
10305.5,1,19.286,6,2.571,90.119,0.01,3.128,0.19286,3.33733,71.916,2,-2
10306.5,1,16.458,8.1,2.642,83.033,0.01,3.819,0.16458,4.05313,71.928,1,-2
10307,1,15.041,10.2,2.653,93.666,0.12,3.11,0.15041,2.17906,77.535,2,-0.920818754
10309,1,19.38,10.9,2.519,119.381,0.78,2.018,0.1938,1.7063,89.726,1,-0.107905397
10310,1,21.087,10.8,2.495,118.609,0.33,2.138,0.21087,2.11204,87.814,2,-0.48148606
10311,1,20.709,10.4,2.483,118.481,0.61,2.341,0.20709,2.37097,84.788,1,-0.214670165
10312,1,20.141,9.3,2.496,112.104,0.68,2.471,0.20141,2.47562,84.388,2,-0.167491087
10313,1,19.631,10.5,2.502,118.216,0.77,2.383,0.19631,2.25376,87.529,1,-0.113509275
10313.5,1,19.29,10.7,2.502,122.031,0.63,2.383,0.1929,2.25376,86.344,2,-0.200659451
10315,1,20.849,10.5,2.52,115.223,0.86,2.471,0.20849,2.43143,84.561,1,-0.065501549
10315.5,1,20.848,11.1,2.536,115.657,1.5,2.471,0.20848,2.43143,83.965,2,0.176091259
10317.5,1,20.233,9.9,2.532,123.222,0.18,2.657,0.20233,2.60999,89.46,1,-0.744727495
10320.5,1,22.736,10.1,2.492,138.585,1.5,2.657,0.22736,2.61,92.587,2,0.176091259
10321,1,22.61,10.5,2.484,145.674,4.6,2.427,0.2261,2.20241,91.797,1,0.662757832
10323,1,23.444,11.5,2.449,149.431,6.2,2.217,0.23444,2.16923,91.617,2,0.792391689
10324,1,23.301,10.4,2.452,152.768,0.36,2.217,0.23301,2.18961,91.773,1,-0.443697499
10325,1,23.514,10.5,2.451,153.258,0.58,2.257,0.23514,2.22112,85.307,2,-0.236572006
10326,1,23.596,10.4,2.481,149.677,0.31,2.383,0.23596,2.18276,79.55,1,-0.508638306
10326.5,1,23.451,10.1,2.495,141.906,0.4,2.61,0.23451,2.55748,80.334,2,-0.397940009
10328.5,1,21.164,22.5,2.518,101.985,100,2.857,0.21164,2.21546,90.951,1,2
10330.5,2,20.889,22.9,2.33,104.116,49,2.217,0.20889,2.37435,93.296,2,1.69019608
10331.5,2,21.408,22.5,2.277,96.086,79,2.062,0.21408,2.86448,96.044,1,1.897627091
10332,2,21.502,23.4,2.263,96.087,110,2.097,0.21502,2.99688,95.85,2,2.041392685
10333,2,21.407,24.8,2.236,102.704,3.9,2.138,0.21407,2.83635,92.488,1,0.591064607
10334,2,21.54,24.3,2.255,103.179,33,2.138,0.2154,2.9025,89.333,2,1.51851394
10334.5,2,21.784,25.7,2.256,103.889,270,2.217,0.21784,3.10799,89.329,1,2.431363764
10335.5,2,21.17,15.6,2.261,107.908,1.6,2.755,0.2117,3.76988,95.225,2,0.204119983
10336.5,2,20.697,21.1,2.299,108.619,19,3.552,0.20697,5.29278,94.038,1,1.278753601
10340,3,21.102,22.9,2.194,92.408,460,11.754,0.21102,16.09417,93.026,2,2.662757832
10341,3,20.364,24.8,2.196,94.455,380,8.179,0.20364,10.98585,94.394,1,2.579783597
10342,3,21.308,29.1,2.18,98.303,370,6.58,0.21308,8.87296,93.993,2,2.568201724
10342.5,3,22.489,27.4,2.177,100.837,430,6.823,0.22489,9.48631,93.99,1,2.633468456
10343.5,3,22.961,28.2,2.17,102.729,490,8.032,0.22961,11.32261,93.984,2,2.69019608
10344.5,3,22.961,25.8,2.182,99.66,250,9.456,0.22961,13.2359,95.156,1,2.397940009
10345.5,3,23.764,25.6,2.168,100.844,170,7.607,0.23764,10.47353,95.543,2,2.230448921
10346.5,3,24.141,26.4,2.159,102.736,350,5.901,0.24141,8.2623,95.139,1,2.544068044
10347.5,3,23.999,28,2.153,104.393,430,6.823,0.23999,9.84315,94.343,2,2.633468456
10348.5,3,24.235,24.7,2.167,105.971,190,6.009,0.24235,8.55867,93.943,1,2.278753601
10349.5,3,23.904,27.5,2.156,107.358,400,5.104,0.23904,7.31174,92.754,2,2.602059991
10350.5,3,24.376,27.1,2.164,111.014,460,4.923,0.24376,7.0979,90.803,1,2.662757832
10351.5,3,23.953,27.3,2.174,112.671,320,4.923,0.23953,7.03979,89.57,2,2.505149978
10352.5,3,23.997,25.4,2.192,119.761,190,4.747,0.23997,6.78713,88.812,1,2.278753601
10353,3,23.193,26.8,2.202,123.455,350,4.923,0.23193,7.02142,89.797,2,2.544068044
10354,3,22.106,25.2,2.211,132.11,270,5.587,0.22106,8.15037,90.781,1,2.431363764
10355,3,21.775,23.7,2.199,130.397,160,6.823,0.21775,10.0462,90.387,2,2.204119983
10356,2,21.16,25.5,2.194,117.406,270,9.456,0.2116,13.74811,87.964,1,2.431363764
10357,3,21.301,24,2.186,97.327,100,15.151,0.21301,21.90336,87.238,2,2
10357.5,2,21.126,26.1,2.181,90.111,360,17.73,0.21126,24.21421,87.238,1,2.556302501
10358,2,20.923,25.6,2.185,86.698,380,20.999,0.20923,27.62804,86.45,2,2.579783597
10362,2,18.339,23.2,2.19,100.883,450,38.9,0.18339,47.38232,90.171,1,2.653212514
10363,2,19.289,22.2,2.187,104.429,730,40.337,0.19289,47.41473,90.417,2,2.86332286
10364,3,20.109,20.4,2.179,104.119,370,38.201,0.20109,44.01766,91.255,1,2.568201724
10365,3,20.825,21.9,2.183,104.434,710,34.215,0.20825,39.53628,91.798,2,2.851258349
10366,3,20.613,23.4,2.19,108.628,1600,26.581,0.20613,31.29172,92.422,1,3.204119983
10367,3,20.194,24.4,2.18,112.707,1000,20.251,0.20194,24.81987,94.325,2,3
10367.5,3,20.115,24.6,2.176,112.708,1300,19.53,0.20115,24.89385,94.772,1,3.113943352
10368.5,3,20.715,24.3,2.142,113.62,710,18.834,0.20715,25.20691,95.113,2,2.851258349
10369.5,3,20.917,23.4,2.144,119.387,680,11.065,0.20917,14.5051,94.719,1,2.832508913
10370,3,21.081,23.4,2.143,122.164,620,9.805,0.21081,13.15086,94.574,2,2.792391689
10371,3,21.295,24.6,2.147,127.835,470,7.984,0.21295,11.00608,94.073,1,2.672097858
10372,3,22.097,25.2,2.157,126.894,130,6.823,0.22097,9.69769,93.537,2,2.113943352
10373.5,3,21.507,26.5,2.18,130.8,920,6.028,0.21507,8.52283,94.325,1,2.963787827
10374.5,3,21.437,27.2,2.184,128.347,1200,5.901,0.21437,8.41292,94.719,2,3.079181246
10375,3,21.529,27.1,2.192,127.075,1100,6.009,0.21529,8.60941,94.719,1,3.041392685
10375.5,3,21.788,27.9,2.181,126.429,1100,6.119,0.21788,8.84247,94.719,2,3.041392685
10376.5,3,22.397,25.9,2.173,126.829,250,6.947,0.22397,10.12315,96.294,1,2.397940009
10377.5,3,22.89,25.6,2.156,127.776,680,10.416,0.2289,15.61152,97.139,2,2.832508913
10378.5,3,23.512,25.4,2.141,122.185,530,14.091,0.23512,20.56796,97.475,1,2.72427587
10379.5,3,24.244,22.9,2.129,121.006,200,12.639,0.24244,17.35683,97.869,2,2.301029996
10380.5,3,24.834,27.2,2.111,127.623,650,10.781,0.24834,14.63113,98.262,1,2.812913357
10381.5,3,24.692,25,2.118,129.433,350,10.167,0.24692,14.08182,98.262,2,2.544068044
10382.5,3,25.164,29.2,2.113,129.868,1900,10.167,0.25164,14.15789,99.05,1,3.278753601
10383.5,3,25.399,30,2.116,129.993,2600,8.794,0.25399,12.294,98.523,2,3.414973348
10384,3,25.315,29.5,2.124,126.944,1300,7.888,0.25315,11.08252,98.262,1,3.113943352
10385,3,25.11,27.3,2.127,121.991,680,6.947,0.2511,10.02276,97.664,2,2.832508913
10386,3,25.345,33.3,2.123,121.021,1100,5.691,0.25345,8.2127,96.476,1,3.041392685
10387,3,25.81,29.4,2.126,121.698,970,5.488,0.2581,7.90848,95.9,2,2.986771734
10388.5,3,25.397,29.8,2.144,124.098,1300,5.933,0.25397,8.71894,96.111,1,3.113943352
10389.5,3,24.452,30.3,2.136,124.1,1300,6.823,0.24452,10.23541,95.9,2,3.113943352
10390,3,24.176,30.1,2.141,124.815,1000,6.823,0.24176,10.19833,96.132,1,3
10391.5,3,23.175,29,2.131,126.107,910,7.336,0.23175,10.75169,97.081,2,2.959041392
10392.5,3,23.033,29.1,2.137,126.405,700,7.888,0.23033,11.65454,97.869,1,2.84509804
10393,3,23.41,27.8,2.139,127.308,460,7.888,0.2341,11.6101,98.262,2,2.662757832
10394,3,23.956,23.7,2.142,131.671,110,7.888,0.23956,11.56179,98.262,1,2.041392685
10395,3,25.063,28.1,2.136,134.035,620,7.888,0.25063,11.57977,98.262,2,2.792391689
10395.5,3,25.063,28.7,2.133,134.037,650,7.607,0.25063,11.14968,97.475,1,2.812913357
10396.5,3,25.157,28.6,2.112,134.039,650,6.823,0.25157,9.7312,96.406,2,2.812913357
10397.5,3,24.572,28.1,2.109,139.948,690,5.901,0.24572,8.39004,96.08,1,2.838849091
10398.5,3,24.211,28.6,2.113,142.313,680,6.865,0.24211,9.70927,95.9,2,2.832508913
10399.5,3,23.644,28.8,2.133,132.865,750,8.84,0.23644,12.57153,95.113,1,2.875061263
10400.5,3,23.407,30.3,2.131,127.551,990,11.754,0.23407,16.45395,93.931,2,2.995635195
10401,3,23.029,28.9,2.125,122.235,930,13.589,0.23029,18.34205,92.75,1,2.968482949
10403,3,22.698,29.5,2.138,134.912,880,12.188,0.22698,15.57328,90.387,2,2.944482672
10403.5,3,22.225,26.9,2.145,138.772,1600,11.754,0.22225,15.10958,90.387,1,3.204119983
10404.5,3,21.139,29.1,2.166,164.878,1100,13.755,0.21139,17.92619,89.994,2,3.041392685
10405.5,3,19.863,26.5,2.196,190.747,140,15.711,0.19863,20.59763,95.309,1,2.146128036
10422,3,22.225,24.8,2.143,113.966,1100,20.251,0.22225,26.55489,96.687,2,3.041392685
10423.5,3,22.874,25,2.114,111.604,850,14.789,0.22874,20.02839,96.687,1,2.929418926
10424.5,3,23.483,26.2,2.106,110.931,1100,11.543,0.23483,16.11396,97.475,2,3.041392685
10425,3,24.115,27.3,2.125,110.422,1600,10.932,0.24115,15.31469,97.869,1,3.204119983
10426.5,3,24.115,26.2,2.134,110.791,1200,12.188,0.24115,16.99048,97.869,2,3.079181246
10428,3,23.879,24.8,2.123,106.879,350,12.188,0.23879,16.63186,93.537,1,2.544068044
10428.5,3,24.179,27.2,2.134,106.406,3200,12.188,0.24179,16.53183,91.962,2,3.505149978
10430,3,24.8,20.5,2.147,89.16,140,15.151,0.248,20.44702,92.356,1,2.146128036
10482,3,22.61,28.7,2.132,82.072,3500,96.316,0.2261,123.3418,92.75,2,3.544068044
10483,3,23.029,28,2.102,85.616,4000,89.578,0.23029,112.9692,92.75,1,3.602059991
10484.5,3,23.393,28.4,2.116,79.71,2800,89.578,0.23393,112.5252,91.175,2,3.447158031
10485,3,23.643,29.8,2.116,80.875,4500,96.316,0.23643,121.6762,91.962,1,3.653212514
10486,3,21.753,28,2.141,82.781,3500,86.387,0.21753,109.1958,91.175,2,3.544068044
10487.5,3,22.654,27.3,2.127,84.37,3600,60.11,0.22654,76.89558,91.962,1,3.556302501
10488,3,23.171,28.5,2.123,85.669,3400,43.766,0.23171,56.565,92.356,2,3.531478917
10489,3,23.498,24.8,2.136,88.035,2500,28.067,0.23498,37.4795,92.356,1,3.397940009
10490,3,23.705,29.7,2.141,89.869,3200,25.174,0.23705,33.95984,92.75,2,3.505149978
10491,3,24.513,25.8,2.13,91.998,1300,22.463,0.24513,30.68991,91.759,1,3.113943352
10492,3,24.034,28.7,2.136,89.869,1900,19.53,0.24034,26.3985,90.387,2,3.278753601
10494,3,22.084,27.2,2.15,85.616,110,12.277,0.22084,17.03916,90.387,1,2.041392685
10495,3,22.225,27.6,2.162,90.943,2500,13.589,0.22225,18.67109,90.387,2,3.397940009
10496,3,22.805,28.3,2.157,92.548,1400,20.251,0.22805,26.57836,92.75,1,3.146128036
10497,3,22.556,27,2.16,90.649,530,37.515,0.22556,49.22134,93.144,2,2.72427587
10498,3,21.753,31.8,2.144,91.523,4300,83.31,0.21753,103.0773,93.144,1,3.633468456
10499.5,3,23.483,27.6,2.098,94.331,2800,89.578,0.23483,107.6339,93.537,2,3.447158031
10500.5,3,24.115,29.1,2.095,96.247,2800,77.485,0.24115,94.22766,94.129,1,3.447158031
10501.5,3,23.481,31.4,2.099,96.247,3900,40.344,0.23481,51.16411,94.328,2,3.591064607
10502,3,23.265,28.8,2.098,96.628,2500,36.187,0.23265,45.41605,93.541,1,3.397940009
10503,3,23.864,30.9,2.096,97.429,3400,38.447,0.23864,50.14342,93.15,2,3.531478917
10503.5,3,23.974,29.8,2.105,96.491,2400,38.918,0.23974,50.36509,91.969,1,3.380211242
10504.5,3,23.622,30.4,2.111,95.066,2200,29.12,0.23622,37.35143,91.577,2,3.342422681
