MD,CLASS,CNL,CPOR,DENS,GR,KAH,LL9D,NEU,RT,SONI,CAT,LOGKAH
10646.5,2,21.329,11.3,2.278,48.1,1,3.179,0.21329,3.40923,87.226,4,0
10647.5,2,22.036,17.7,2.29,48.1,0.33,2.124,0.22036,2.44624,88.01,4,-0.48148606
10649.5,3,24.064,22.8,2.269,44.95,5.1,1.981,0.24064,2.26862,88.792,4,0.707570176
10651,3,23.72,21.9,2.265,44.162,5.3,2.183,0.2372,2.4903,88.012,4,0.72427587
10652,2,21.781,24.4,2.265,49.675,1.8,2.47,0.21781,2.81173,88.012,4,0.255272505
10653,2,20.669,20.8,2.325,51.55,6.2,2.43,0.20669,2.7692,86.414,4,0.792391689
10654.5,2,19.399,17.5,2.381,52.037,1.1,3.088,0.19399,4.06458,80.92,4,0.041392685
10655.5,2,20.592,20.9,2.323,52.037,1.2,3.19,0.20592,4.15401,80.137,4,0.079181246
10656.5,2,21.14,16.3,2.276,47.249,1.1,2.832,0.2114,3.21015,80.773,4,0.041392685
10658,2,21.923,12.5,2.223,50.331,0.1,2.64,0.21923,2.99434,86.444,4,-1
10659,3,23.124,20.6,2.218,53.613,1,2.206,0.23124,2.92255,92.737,4,0
10661,3,23.202,21.1,2.219,52.825,23,2.177,0.23202,2.75073,93.518,4,1.361727836
10662.5,2,23.584,21.6,2.285,55.691,30,2.116,0.23584,3.10769,89.59,4,1.477121255
10666,2,23.222,22.7,2.255,56.762,27,1.867,0.23222,2.51476,92.737,4,1.431363764
10679,2,18.942,19.1,2.353,58.337,22,2.818,0.18942,3.5536,82.917,4,1.342422681
10680,2,18.759,17.3,2.352,60.518,340,2.927,0.18759,3.82314,84.075,4,2.531478917
10681,1,16.97,18.2,2.35,61.488,390,2.999,0.1697,3.79262,82.433,4,2.591064607
10682.5,1,15.225,14.7,2.354,62.542,28,3.726,0.15225,5.19256,80.391,4,1.447158031
10683.5,1,15.48,19.7,2.335,61.488,370,4.137,0.1548,5.86883,79.56,4,2.568201724
10685,1,16.78,20.8,2.288,63.062,690,4.788,0.1678,6.86032,80.676,4,2.838849091
10686,1,17.18,17.6,2.286,61.488,320,5.26,0.1718,7.55157,82.499,4,2.505149978
10687,1,16.88,19.1,2.33,61.488,290,4.723,0.1688,6.84065,83.774,4,2.462397998
10688,1,16.68,18.6,2.354,62.275,150,4.444,0.1668,6.20398,82.05,4,2.176091259
10689,1,17.42,18,2.339,62.275,140,4.63,0.1742,6.58472,82.581,4,2.146128036
10690,2,18.56,7.4,2.29,61.145,0.13,4.339,0.1856,5.97242,83.184,4,-0.886056648
10691,2,18.5,17.2,2.323,61.488,81,4.042,0.185,5.61994,83.288,4,1.908485019
10692,2,18.64,19.6,2.364,62.275,110,4.084,0.1864,5.59298,83.288,4,2.041392685
10693.5,1,17.5,18.7,2.384,63.85,36,4.038,0.175,5.53613,79.791,4,1.556302501
10694.5,1,15.38,4.8,2.41,59.912,0.02,4.247,0.1538,5.82367,70.529,4,-1.698970004
10696,1,17.94,21.1,2.344,53.613,65,5.402,0.1794,6.01998,72.869,4,1.812913357
10697,2,20,20.8,2.341,54.254,41,3.727,0.2,5.019,84.07,4,1.612783857
10698.5,1,16.84,6.6,2.418,55.975,0.08,3.951,0.1684,5.13629,78.565,4,-1.096910013
10699.5,2,19.34,23.5,2.383,54.081,73,4.461,0.1934,4.71415,80.209,4,1.86332286
10701,2,22.2,23.9,2.307,54.4,85,2.879,0.222,3.50897,89.532,4,1.929418926
10702.5,2,17.44,25.7,2.372,49.962,75,3.26,0.1744,3.8461,92.108,4,1.875061263
10704,1,18.04,16.5,2.377,47.894,0.18,3.389,0.1804,4.13879,76.646,4,-0.744727495
10705,1,16.46,8.5,2.4,44.95,0.2,3.746,0.1646,4.23378,76.611,4,-0.698970004
10706.5,1,14.76,16.6,2.435,42.027,9.1,5,0.1476,5.28781,68.959,4,0.959041392
10707.5,1,16.96,15.1,2.473,42.373,0.85,4.582,0.1696,4.85861,66.309,4,-0.070581074
10708.5,2,20.6,15.6,2.356,45.737,1.2,2.591,0.206,3.02287,83.666,5,0.079181246
10709.5,2,20,18.5,2.308,48.1,2.5,2.551,0.2,2.93811,79.2,5,0.397940009
10711,1,16.86,3.8,2.405,44.527,0.02,2.868,0.1686,3.26234,79.282,5,-1.698970004
10712,1,12.96,22.7,2.448,45.183,34,3,0.1296,3.2143,69.089,5,1.531478917
10713,1,14.58,21.1,2.427,45.737,8.4,3.183,0.1458,3.40572,73.939,5,0.924279286
10714,1,13.86,23.1,2.439,45.73,28,3.437,0.1386,3.90144,92.411,5,1.447158031
10715,1,15.52,15.3,2.473,45.262,1.4,3.55,0.1552,3.80162,67.735,5,0.146128036
10716,1,14.72,22.4,2.403,47.932,41,2.985,0.1472,3.40477,76.316,5,1.612783857
10717,1,13.019,22.4,2.455,50.823,9.8,3.398,0.13019,3.64547,70.54,5,0.991226076
10718,1,14.199,20.1,2.394,52.948,6,3.003,0.14199,3.53895,72.262,5,0.77815125
10719,1,14.147,16.2,2.413,55.558,0.84,3.392,0.14147,4.27839,72.262,5,-0.075720714
10720,1,18.963,22.2,2.36,56.542,36,2.57,0.18963,3.27709,73.262,5,1.556302501
10721,2,21.151,23.6,2.281,58.675,72,2.038,0.21151,2.49969,85.368,5,1.857332496
10723,3,21.851,25.9,2.193,65.197,240,2.165,0.21851,2.68268,93.542,5,2.380211242
10724,3,21.88,26.3,2.194,65.653,230,2.279,0.2188,2.82057,95.098,5,2.361727836
10725.5,2,20.093,22.6,2.248,62.362,100,1.754,0.20093,2.1992,91.884,5,2
10726.5,2,17.474,3.7,2.303,59.912,0.01,1.954,0.17474,2.55155,88.946,5,-2
10727.5,1,14.612,27.8,2.357,58.349,290,2.493,0.14612,2.71036,74.847,5,2.462397998
10728.5,1,13.345,25.2,2.388,57.791,230,2.513,0.13345,2.73703,71.046,5,2.361727836
10730,2,19.639,28.8,2.242,56.117,150,2.113,0.19639,2.63051,87.91,5,2.176091259
10731,2,18.248,20.7,2.299,56.762,50,1.804,0.18248,2.22327,84.795,5,1.698970004
10732,1,16.153,9.2,2.353,55.246,0.21,2.021,0.16153,2.21609,78.077,5,-0.677780705
10734,1,15.437,12,2.356,55.607,0.04,1.94,0.15437,2.1328,72.283,5,-1.397940009
10734.5,1,15.194,20.2,2.313,56.77,6.5,1.885,0.15194,2.07329,76.979,5,0.812913357
10735,1,15.143,21,2.32,57.055,5.8,1.969,0.15143,2.29815,76.208,5,0.763427994
10735.5,1,16.621,17.6,2.32,57.64,1.3,1.944,0.16621,2.38784,78.589,5,0.113943352
10739.5,2,20.315,18.7,2.297,63.093,2.1,1.611,0.20315,1.93811,86.02,5,0.322219295
10740.5,2,18.656,27.5,2.333,59.931,600,1.604,0.18656,1.90557,87.205,5,2.77815125
10741.5,2,17.836,18,2.372,60.495,1.3,1.584,0.17836,1.89829,84.271,5,0.113943352
10742,2,18.07,17.4,2.358,61.516,0.37,1.55,0.1807,1.83512,84.611,5,-0.431798276
10743,2,17.943,19,2.341,62.78,1.3,1.582,0.17943,1.87349,84.054,5,0.113943352
10744.5,1,16.859,17.8,2.364,57.758,0.42,1.988,0.16859,2.21808,76.209,5,-0.37675071
10745.5,2,20.001,12.9,2.328,53.613,0.1,1.837,0.20001,2.05534,79.424,5,-1
10747,2,20.294,25.1,2.253,51.913,31,1.504,0.20294,1.80148,87.225,5,1.491361694
10748,2,19.029,18.5,2.242,48.898,4.6,1.576,0.19029,1.94142,88.8,5,0.662757832
10749,2,19.706,26.5,2.258,50.462,22,1.499,0.19706,1.82881,88.667,5,1.342422681
10750.5,2,18.622,25.5,2.256,51.294,5.7,1.38,0.18622,1.66353,84.961,5,0.755874856
